,name,album,artist,release_date,length,popularity,acoustic,danceability,energy,instrumentalness,liveness,loudness,speechiness,tempo,time_signature
42,Strawberry Swing,Viva La Vida or Death and All His Friends,Coldplay,5/26/08,249666,54,0.00722,0.378,0.663,0.797,0.191,-10.476,0.0458,173.136,4
43,Death and All His Friends,Viva La Vida or Death and All His Friends,Coldplay,5/26/08,378853,47,0.695,0.218,0.296,0.727,0.164,-10.61,0.0312,129.93,4
44,Life in Technicolor,Viva La Vida (Prospekt's March Edition),Coldplay,11/24/08,149133,34,0.0102,0.288,0.662,0.944,0.498,-10.482,0.0347,131.056,4
45,Cemeteries of London,Viva La Vida (Prospekt's March Edition),Coldplay,11/24/08,201106,32,0.0054,0.437,0.806,0.00822,0.1,-7.693,0.0353,109.109,3
46,Lost!,Viva La Vida (Prospekt's March Edition),Coldplay,11/24/08,236213,35,0.0057,0.359,0.779,0.837,0.379,-7.52,0.0412,86.951,4
47,42,Viva La Vida (Prospekt's March Edition),Coldplay,11/24/08,237400,32,0.221,0.309,0.636,0.00281,0.102,-7.202,0.0344,141.382,4
48,Lovers in Japan,Viva La Vida (Prospekt's March Edition),Coldplay,11/24/08,411013,35,0.0427,0.202,0.733,0.696,0.243,-7.599,0.0446,118.217,4
49,Yes,Viva La Vida (Prospekt's March Edition),Coldplay,11/24/08,426653,31,0.00884,0.162,0.807,0.358,0.187,-6.277,0.0538,161.577,4
50,Viva La Vida,Viva La Vida (Prospekt's March Edition),Coldplay,11/24/08,242373,46,0.0954,0.486,0.617,3.23E-06,0.109,-7.115,0.0287,138.015,4
51,Violet Hill,Viva La Vida (Prospekt's March Edition),Coldplay,11/24/08,222653,36,0.0614,0.33,0.58,0.00129,0.115,-7.875,0.0374,76.093,4
52,Strawberry Swing,Viva La Vida (Prospekt's March Edition),Coldplay,11/24/08,249666,38,0.00722,0.378,0.663,0.797,0.191,-10.476,0.0458,173.136,4
53,Death and All His Friends,Viva La Vida (Prospekt's March Edition),Coldplay,11/24/08,378853,34,0.695,0.218,0.296,0.727,0.164,-10.61,0.0312,129.93,4
54,Life in Technicolor ii,Viva La Vida (Prospekt's March Edition),Coldplay,11/24/08,245099,44,0.00158,0.472,0.909,5.16E-05,0.248,-7.073,0.0391,131.051,4
55,Postcards from Far Away,Viva La Vida (Prospekt's March Edition),Coldplay,11/24/08,48128,40,0.99,0.46,0.164,0.953,0.146,-19.387,0.048,126.704,4
56,Glass of Water,Viva La Vida (Prospekt's March Edition),Coldplay,11/24/08,284905,35,0.000433,0.152,0.695,0.0618,0.334,-8.299,0.0318,157.167,4
57,Rainy Day,Viva La Vida (Prospekt's March Edition),Coldplay,11/24/08,206002,31,0.0765,0.375,0.677,0.00271,0.126,-6.964,0.0292,137.994,4
58,Prospekt's March / Poppyfields,Viva La Vida (Prospekt's March Edition),Coldplay,11/24/08,219231,32,0.401,0.285,0.279,0.00428,0.193,-11.992,0.0292,146.4,4
59,Lost+ (with Jay-Z),Viva La Vida (Prospekt's March Edition),Coldplay,11/24/08,256908,35,0.0081,0.257,0.805,0.494,0.357,-7.025,0.0559,175.251,4
60,Lovers in Japan - Osaka Sun Mix,Viva La Vida (Prospekt's March Edition),Coldplay,11/24/08,238240,33,0.00263,0.402,0.941,0.394,0.298,-6.035,0.075,111.982,4
61,Now My Feet Won't Touch the Ground,Viva La Vida (Prospekt's March Edition),Coldplay,11/24/08,147521,33,0.817,0.494,0.255,0.853,0.0819,-13.797,0.0305,123.502,4
62,Mylo Xyloto,Mylo Xyloto,Coldplay,10/24/11,42106,47,0.437,0.151,0.389,0.961,0.228,-12.798,0.038,100.707,1
63,Hurts Like Heaven,Mylo Xyloto,Coldplay,10/24/11,242253,54,0.01,0.418,0.773,0.00418,0.269,-6.187,0.0305,89.961,4
64,Paradise,Mylo Xyloto,Coldplay,10/24/11,278719,78,0.0509,0.449,0.585,8.75E-05,0.0833,-6.761,0.0268,139.631,4
65,Charlie Brown,Mylo Xyloto,Coldplay,10/24/11,285159,64,0.0212,0.43,0.74,0.00165,0.33,-7.072,0.0375,137.978,4
66,Us Against the World,Mylo Xyloto,Coldplay,10/24/11,239767,53,0.845,0.507,0.304,1.03E-05,0.0741,-11.096,0.0278,112.371,3
67,M.M.I.X.,Mylo Xyloto,Coldplay,10/24/11,48466,43,0.939,0.174,0.0613,0.867,0.095,-29.286,0.0538,126.857,3
68,Every Teardrop Is a Waterfall,Mylo Xyloto,Coldplay,10/24/11,240796,67,0.00194,0.425,0.732,0.0103,0.171,-6.883,0.0396,117.98,4
69,Major Minus,Mylo Xyloto,Coldplay,10/24/11,210324,46,0.000236,0.445,0.669,0.796,0.606,-5.232,0.0325,115.416,4
70,U.F.O.,Mylo Xyloto,Coldplay,10/24/11,137819,45,0.731,0.216,0.395,0.0167,0.338,-11.791,0.0361,83.697,3
71,Princess of China,Mylo Xyloto,Coldplay,10/24/11,239215,65,0.00385,0.42,0.69,0.015,0.287,-6.221,0.0347,85.014,4
72,Up in Flames,Mylo Xyloto,Coldplay,10/24/11,193240,47,0.235,0.641,0.244,0.0337,0.104,-11.051,0.0301,76.006,4
73,A Hopeful Transmission,Mylo Xyloto,Coldplay,10/24/11,33000,42,0.103,0.441,0.26,0.878,0.816,-20.424,0.0352,116.949,4
74,Don't Let It Break Your Heart,Mylo Xyloto,Coldplay,10/24/11,234106,48,0.000561,0.41,0.751,0.0571,0.169,-7.903,0.0465,140.047,4
75,Up with the Birds,Mylo Xyloto,Coldplay,10/24/11,225653,45,0.714,0.365,0.483,0.00463,0.363,-7.876,0.035,120.039,4
76,Always in My Head,Ghost Stories,Coldplay,5/19/14,216626,61,0.0127,0.495,0.502,0.689,0.068,-9.307,0.0259,97.546,3
77,Magic,Ghost Stories,Coldplay,5/19/14,285014,71,0.0266,0.738,0.482,0.621,0.106,-8.917,0.0402,93.457,4
78,Ink,Ghost Stories,Coldplay,5/19/14,228373,59,0.0647,0.688,0.705,0.124,0.118,-7.311,0.0323,112.019,4
79,True Love,Ghost Stories,Coldplay,5/19/14,246000,54,0.00376,0.482,0.573,0.077,0.123,-7.966,0.028,119.991,4
80,Midnight,Ghost Stories,Coldplay,5/19/14,294666,60,0.615,0.548,0.475,0.808,0.0944,-12.42,0.0355,126.974,4
81,Another's Arms,Ghost Stories,Coldplay,5/19/14,234413,52,0.00715,0.516,0.572,0.254,0.139,-9.037,0.0291,160.023,4
82,Oceans,Ghost Stories,Coldplay,5/19/14,321680,51,0.919,0.194,0.132,0.181,0.159,-15.783,0.0349,74.845,4
83,A Sky Full of Stars,Ghost Stories,Coldplay,5/19/14,267866,76,0.00617,0.545,0.675,0.00197,0.209,-6.474,0.0279,124.97,4
84,O,Ghost Stories,Coldplay,5/19/14,323480,61,0.911,0.371,0.216,0.826,0.0934,-14.727,0.0358,136.998,4
85,A Head Full of Dreams,A Head Full of Dreams,Coldplay,12/4/15,223773,63,0.0021,0.449,0.92,0.0167,0.334,-4.982,0.0737,122.984,4
86,Birds,A Head Full of Dreams,Coldplay,12/4/15,229093,59,0.000315,0.559,0.841,0.437,0.0816,-5.584,0.0332,105.009,4
87,Hymn for the Weekend,A Head Full of Dreams,Coldplay,12/4/15,258266,79,0.211,0.491,0.693,6.92E-06,0.325,-6.487,0.0377,90.027,4
88,Everglow,A Head Full of Dreams,Coldplay,12/4/15,282693,66,0.456,0.534,0.445,0.0684,0.112,-9.155,0.0292,146.107,4
89,Adventure of a Lifetime,A Head Full of Dreams,Coldplay,12/4/15,263786,74,0.00205,0.638,0.924,0.000175,0.149,-3.887,0.036,111.995,4
90,Fun (feat. Tove Lo),A Head Full of Dreams,Coldplay,12/4/15,267533,57,0.271,0.485,0.735,7.49E-06,0.0853,-5.125,0.0354,134.021,4
91,Kaleidoscope,A Head Full of Dreams,Coldplay,12/4/15,111853,49,0.964,0.288,0.285,0.897,0.406,-18.193,0.0355,127.122,4
92,Army of One,A Head Full of Dreams,Coldplay,12/4/15,376826,55,0.275,0.387,0.659,6.44E-05,0.0861,-6.492,0.0434,146.048,4
93,Amazing Day,A Head Full of Dreams,Coldplay,12/4/15,271106,56,0.017,0.451,0.636,0.435,0.141,-5.796,0.0274,97.041,3
94,Colour Spectrum,A Head Full of Dreams,Coldplay,12/4/15,60106,48,0.852,0.348,0.166,0.915,0.137,-20.349,0.0376,123.58,4
95,Up&Up,A Head Full of Dreams,Coldplay,12/4/15,405320,66,0.0488,0.479,0.717,0.000333,0.102,-5.459,0.0605,163.989,4
96,Sunrise,Everyday Life,Coldplay,11/22/19,151093,57,0.939,0.146,0.216,0.54,0.0773,-12.302,0.0399,78.045,4
97,Church,Everyday Life,Coldplay,11/22/19,230013,53,0.00865,0.449,0.736,0.145,0.147,-6.98,0.0368,123.973,4
98,Trouble In Town,Everyday Life,Coldplay,11/22/19,278906,56,0.427,0.595,0.315,0.648,0.111,-11.456,0.0296,96.018,4
99,BrokEn,Everyday Life,Coldplay,11/22/19,150200,50,0.923,0.55,0.271,0,0.147,-11.836,0.0495,130.151,4
