,name,album,artist,release_date,length,popularity,acoustic,danceability,energy,instrumentalness,liveness,loudness,speechiness,tempo,time_signature
0,Always in My Head,Ghost Stories,Coldplay,5/19/14,216626,61,0.0127,0.495,0.502,0.689,0.068,-9.307,0.0259,97.546,3
1,Magic,Ghost Stories,Coldplay,5/19/14,285014,71,0.0266,0.738,0.482,0.621,0.106,-8.917,0.0402,93.457,4
2,Ink,Ghost Stories,Coldplay,5/19/14,228373,59,0.0647,0.688,0.705,0.124,0.118,-7.311,0.0323,112.019,4
3,True Love,Ghost Stories,Coldplay,5/19/14,246000,54,0.00376,0.482,0.573,0.077,0.123,-7.966,0.028,119.991,4
4,Midnight,Ghost Stories,Coldplay,5/19/14,294666,60,0.615,0.548,0.475,0.808,0.0944,-12.42,0.0355,126.974,4
5,Another's Arms,Ghost Stories,Coldplay,5/19/14,234413,52,0.00715,0.516,0.572,0.254,0.139,-9.037,0.0291,160.023,4
6,Oceans,Ghost Stories,Coldplay,5/19/14,321680,51,0.919,0.194,0.132,0.181,0.159,-15.783,0.0349,74.845,4
7,A Sky Full of Stars,Ghost Stories,Coldplay,5/19/14,267866,76,0.00617,0.545,0.675,0.00197,0.209,-6.474,0.0279,124.97,4
8,O,Ghost Stories,Coldplay,5/19/14,323480,61,0.911,0.371,0.216,0.826,0.0934,-14.727,0.0358,136.998,4
